ORIGIN_TABLE,customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle,territory,orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,orderDate,requiredDate,shippedDate,status,comments,checkNumber,paymentDate,amount,productLine,textDescription,htmlDescription,image,productName,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
customers,103.0,Atelier graphique,Schmitt,Carine ,40.32.2555,"54, rue Royale",N/A,Nantes,N/A,44000,France,1370.0,21000.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,112.0,Signal Gift Stores,King,Jean,7025551838,8489 Strong St.,N/A,Las Vegas,NV,83030,USA,1166.0,71800.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,114.0,"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,1611.0,117300.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,119.0,La Rochelle Gifts,Labrune,Janine ,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,1370.0,118200.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,121.0,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,1504.0,81700.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,124.0,Mini Gifts Distributors Ltd.,Nelson,Susan,4155551450,5677 Strong St.,N/A,San Rafael,CA,97562,USA,1165.0,210500.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,125.0,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,N/A,Warszawa,N/A,01-012,Poland,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,128.0,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,N/A,Frankfurt,N/A,60528,Germany,1504.0,59700.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,129.0,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,94217,USA,1165.0,64600.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,131.0,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,1323.0,114900.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,141.0,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",N/A,Madrid,N/A,28034,Spain,1370.0,227600.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,144.0,"Volvo Model Replicas, Co",Berglund,Christina ,0921-12 3555,Berguvsvägen  8,N/A,Luleå,N/A,S-958 22,Sweden,1504.0,53100.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,145.0,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,N/A,Kobenhavn,N/A,1734,Denmark,1401.0,83400.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,146.0,"Saveley & Henriot, Co.",Saveley,Mary ,78.32.5555,"2, rue du Commerce",N/A,Lyon,N/A,69004,France,1337.0,123900.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,148.0,"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,N/A,079903,Singapore,1621.0,103800.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,151.0,Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,1286.0,138500.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,157.0,Diecast Classics Inc.,Leong,Kelvin,2155551555,7586 Pompton St.,N/A,Allentown,PA,70267,USA,1216.0,100600.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,161.0,Technics Stores Inc.,Hashimoto,Juri,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,1165.0,84600.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,166.0,Handji Gifts& Co,Victorino,Wendy,+65 224 1555,106 Linden Road Sandown,2nd Floor,Singapore,N/A,069045,Singapore,1612.0,97900.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,167.0,Herkku Gifts,Oeztan,Veysel,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,Bergen,N/A,N 5804,Norway  ,1504.0,96800.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,168.0,American Souvenirs Inc,Franco,Keith,2035557845,149 Spinnaker Dr.,Suite 101,New Haven,CT,97823,USA,1286.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,169.0,Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da saúde n. 58,N/A,Lisboa,N/A,1756,Portugal,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,171.0,Daedalus Designs Imports,Rancé,Martine ,20.16.1555,"184, chaussée de Tournai",N/A,Lille,N/A,59000,France,1370.0,82900.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,172.0,"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",N/A,Paris,N/A,75012,France,1337.0,84300.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,173.0,Cambridge Collectables Co.,Tseng,Jerry,6175555555,4658 Baden Av.,N/A,Cambridge,MA,51247,USA,1188.0,43400.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,175.0,Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,N/A,Bridgewater,CT,97562,USA,1323.0,84300.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,177.0,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,N/A,Kita-ku,Osaka, 530-0003,Japan,1621.0,81200.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,181.0,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286.0,76400.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,186.0,"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,N/A,Helsinki,N/A,21240,Finland,1501.0,96500.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,187.0,"AV Stores, Co.",Ashworth,Rachel,(171) 555-1555,Fauntleroy Circus,N/A,Manchester,N/A,EC2 5NT,UK,1501.0,136800.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,189.0,"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,N/A,2,Ireland,1504.0,69400.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,198.0,Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,N/A,Brickhaven,MA,58339,USA,1216.0,23000.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,201.0,"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,"12, Berkeley Gardens Blvd",N/A,Liverpool,N/A,WX1 6LT,UK,1501.0,92700.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,202.0,Canadian Gift Exchange Network,Tamuri,Yoshi ,(604) 555-3392,1900 Oak St.,N/A,Vancouver,BC,V3F 2K1,Canada,1323.0,90300.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,204.0,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,N/A,Brickhaven,MA,58339,USA,1188.0,68700.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,205.0,Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,N/A,Pasadena,CA,90003,USA,1166.0,90700.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,206.0,"Asian Shopping Network, Co",Walker,Brydey,+612 9411 1555,Suntec Tower Three,8 Temasek,Singapore,N/A,038988,Singapore,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,209.0,Mini Caravy,Citeaux,Frédérique ,88.60.1555,"24, place Kléber",N/A,Strasbourg,N/A,67000,France,1370.0,53800.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
